Unnamed: 0,Country,Player,Team,Base price,Winning bid,Year,team
26,Australia,Luke Pomersbach,Punjab Kings,30.5,183.0,2013,Punjab Kings
27,Australia,Ricky Ponting,Mumbai Indians,244.0,244.0,2013,Mumbai Indians
28,Trinidad and Tobago,Ravi Rampaul,Royal Challengers Bangalore,30.5,176.9,2013,Royal Challengers Bengaluru
29,Australia,Kane Richardson,Pune Warriors India,61.0,427.0,2013,Pune Warriors India
30,New Zealand,Jesse Ryder,Delhi Capitals,61.0,158.6,2013,Delhi Capitals
31,Saint Lucia,Darren Sammy,Sunrisers Hyderabad,61.0,259.25,2013,Sunrisers Hyderabad
32,Sri Lanka,Sachithra Senanayake,Kolkata Knight Riders,30.5,381.25,2013,Kolkata Knight Riders
33,India,Pankaj Singh,Royal Challengers Bangalore,30.5,91.5,2013,Royal Challengers Bengaluru
34,India,R. P. Singh,Royal Challengers Bangalore,61.0,244.0,2013,Royal Challengers Bengaluru
35,India,Sudeep Tyagi,Sunrisers Hyderabad,61.0,61.0,2013,Sunrisers Hyderabad
36,India,Jaydev Unadkat,Royal Challengers Bangalore,61.0,320.25,2013,Royal Challengers Bengaluru
37,Australia,Mitchell Johnson,Punjab Kings,200.0,650,2014,Punjab Kings
38,South Africa,Jacques Kallis,Kolkata Knight Riders,200.0,550,2014,Kolkata Knight Riders
39,England,Kevin Pietersen,Delhi Capitals,200.0,900,2014,Delhi Capitals
40,India,Virender Sehwag,Punjab Kings,200.0,320,2014,Punjab Kings
41,India,Yuvraj Singh,Royal Challengers Bangalore,200.0,"1,400",2014,Royal Challengers Bengaluru
42,India,Murali Vijay,Delhi Capitals,200.0,500,2014,Delhi Capitals
43,Australia,David Warner,Sunrisers Hyderabad,150.0,550,2014,Sunrisers Hyderabad
44,Australia,George Bailey,Punjab Kings,200.0,325,2014,Punjab Kings
45,South Africa,Faf du Plessis,Chennai Super Kings,150.0,475,2014,Chennai Super Kings
46,Australia,Michael Hussey,Mumbai Indians,200.0,500,2014,Mumbai Indians
47,India,Dinesh Karthik,Delhi Capitals,200.0,"1,250",2014,Delhi Capitals
48,India,Zaheer Khan,Mumbai Indians,100.0,260,2014,Mumbai Indians
49,New Zealand,Brendon McCullum,Chennai Super Kings,200.0,325,2014,Chennai Super Kings
50,India,Amit Mishra,Sunrisers Hyderabad,200.0,475,2014,Sunrisers Hyderabad
51,Saint Lucia,Darren Sammy,Sunrisers Hyderabad,100.0,350,2014,Sunrisers Hyderabad
52,South Africa,Jean-Paul Duminy,Delhi Capitals,100.0,220,2014,Delhi Capitals
53,Australia,Aaron Finch,Sunrisers Hyderabad,100.0,400,2014,Sunrisers Hyderabad
54,Australia,Brad Hodge,Rajasthan Royals,200.0,240,2014,Rajasthan Royals
55,Australia,Shaun Marsh,Punjab Kings,200.0,220,2014,Punjab Kings
56,India,Cheteshwar Pujara,Punjab Kings,150.0,190,2014,Punjab Kings
57,Barbados,Dwayne Smith,Chennai Super Kings,150.0,450,2014,Chennai Super Kings
58,New Zealand,Ross Taylor,Delhi Capitals,200.0,200,2014,Delhi Capitals
59,India,Manoj Tiwary,Delhi Capitals,200.0,280,2014,Delhi Capitals
60,India,Robin Uthappa,Kolkata Knight Riders,200.0,500,2014,Kolkata Knight Riders
61,South Africa,Quinton de Kock,Delhi Capitals,100.0,350,2014,Delhi Capitals
62,India,Naman Ojha,Sunrisers Hyderabad,50.0,50,2014,Sunrisers Hyderabad
63,India,Parthiv Patel,Royal Challengers Bangalore,100.0,275,2014,Royal Challengers Bengaluru
64,India,Wriddhiman Saha,Punjab Kings,100.0,220,2014,Punjab Kings
65,Bangladesh,Shakib Al Hasan,Kolkata Knight Riders,100.0,280,2014,Kolkata Knight Riders
66,South Africa,Albie Morkel,Royal Challengers Bangalore,150.0,240,2014,Royal Challengers Bengaluru
67,India,Irfan Pathan,Sunrisers Hyderabad,150.0,240,2014,Sunrisers Hyderabad
68,India,Yusuf Pathan,Kolkata Knight Riders,200.0,325,2014,Kolkata Knight Riders
69,Sri Lanka,Thisara Perera,Punjab Kings,50.0,160,2014,Punjab Kings
70,Australia,Steve Smith,Rajasthan Royals,200.0,400,2014,Rajasthan Royals
71,India,Ashok Dinda,Royal Challengers Bangalore,100.0,150,2014,Royal Challengers Bengaluru
72,India,Bhuvneshwar Kumar,Sunrisers Hyderabad,150.0,425,2014,Sunrisers Hyderabad
73,South Africa,Morne Morkel,Kolkata Knight Riders,150.0,280,2014,Kolkata Knight Riders
74,Trinidad and Tobago,Ravi Rampaul,Royal Challengers Bangalore,50.0,90,2014,Royal Challengers Bengaluru
75,India,Mohammed Shami,Delhi Capitals,100.0,425,2014,Delhi Capitals
76,India,Ishant Sharma,Sunrisers Hyderabad,150.0,425,2014,Sunrisers Hyderabad
77,Australia,Mitchell Starc,Royal Challengers Bangalore,200.0,500,2014,Royal Challengers Bengaluru
78,India,Ranganath Vinay Kumar,Kolkata Knight Riders,150.0,280,2014,Kolkata Knight Riders
79,India,Umesh Yadav,Kolkata Knight Riders,100.0,260,2014,Kolkata Knight Riders
80,India,Piyush Chawla,Kolkata Knight Riders,50.0,425,2014,Kolkata Knight Riders
81,India,Murali Kartik,Punjab Kings,100.0,100,2014,Punjab Kings
82,Sri Lanka,Muttiah Muralitharan,Royal Challengers Bangalore,100.0,100,2014,Royal Challengers Bengaluru
83,India,Pragyan Ojha,Mumbai Indians,200.0,325,2014,Mumbai Indians
84,India,Rahul Sharma,Delhi Capitals,50.0,190,2014,Delhi Capitals
85,Australia,Nic Maddinson,Royal Challengers Bangalore,50.0,50,2014,Royal Challengers Bengaluru
86,India,Saurabh Tiwary,Delhi Capitals,50.0,70,2014,Delhi Capitals
87,Zimbabwe,Brendan Taylor,Sunrisers Hyderabad,30.0,30,2014,Sunrisers Hyderabad
88,New Zealand,Corey Anderson,Mumbai Indians,100.0,450,2014,Mumbai Indians
89,Australia,Moises Henriques,Sunrisers Hyderabad,100.0,100,2014,Sunrisers Hyderabad
90,Australia,Glenn Maxwell,Punjab Kings,100.0,600,2014,Punjab Kings
91,India,Abhishek Nayar,Rajasthan Royals,30.0,100,2014,Rajasthan Royals
92,India,Laxmi Ratan Shukla,Delhi Capitals,50.0,150,2014,Delhi Capitals
93,Jamaica,Andre Russell,Kolkata Knight Riders,50.0,60,2014,Kolkata Knight Riders
94,India,Varun Aaron,Royal Challengers Bangalore,150.0,200,2014,Royal Challengers Bengaluru
95,India,Parvinder Awana,Punjab Kings,50.0,65,2014,Punjab Kings
96,India,Lakshmipathy Balaji,Punjab Kings,50.0,180,2014,Punjab Kings
97,Australia,Nathan Coulter-Nile,Delhi Capitals,100.0,425,2014,Delhi Capitals
98,India,Ashish Nehra,Chennai Super Kings,200.0,200,2014,Chennai Super Kings
99,India,Mohit Sharma,Chennai Super Kings,100.0,200,2014,Chennai Super Kings
100,India,Jaydev Unadkat,Delhi Capitals,100.0,280,2014,Delhi Capitals
101,Trinidad and Tobago,Samuel Badree,Chennai Super Kings,30.0,30,2014,Chennai Super Kings
102,Australia,Chris Lynn,Kolkata Knight Riders,50.0,130,2014,Kolkata Knight Riders
103,India,Yalaka Venugopal Rao,Sunrisers Hyderabad,30.0,55,2014,Sunrisers Hyderabad
104,Australia,John Hastings,Chennai Super Kings,50.0,50,2014,Chennai Super Kings
105,New Zealand,James Neesham,Delhi Capitals,30.0,100,2014,Delhi Capitals
106,Australia,Ben Cutting,Rajasthan Royals,50.0,80,2014,Rajasthan Royals
107,Australia,Josh Hazlewood,Mumbai Indians,50.0,50,2014,Mumbai Indians
108,Australia,Ben Hilfenhaus,Chennai Super Kings,100.0,100,2014,Chennai Super Kings
109,Barbados,Jason Holder,Sunrisers Hyderabad,50.0,75,2014,Sunrisers Hyderabad
110,Australia,Kane Richardson,Rajasthan Royals,100.0,100,2014,Rajasthan Royals
111,New Zealand,Tim Southee,Rajasthan Royals,50.0,120,2014,Rajasthan Royals
112,Australia,Patrick Cummins,Kolkata Knight Riders,100.0,100,2014,Kolkata Knight Riders
113,South Africa,Wayne Parnell,Delhi Capitals,100.0,100,2014,Delhi Capitals
114,South Africa,Marchant de Lange,Mumbai Indians,30.0,30,2014,Mumbai Indians
115,Jamaica,Krishmar Santokie,Mumbai Indians,30.0,30,2014,Mumbai Indians
116,New Zealand,Matt Henry,Chennai Super Kings,30.0,30,2014,Chennai Super Kings
117,India,Mayank Agarwal,Delhi Capitals,10.0,160,2014,Delhi Capitals
118,India,Srikkanth Anirudha,Sunrisers Hyderabad,20.0,20,2014,Sunrisers Hyderabad
119,India,Baba Aparajith,Chennai Super Kings,10.0,10,2014,Chennai Super Kings
120,India,Unmukt Chand,Rajasthan Royals,30.0,65,2014,Rajasthan Royals
121,India,Kedar Jadhav,Delhi Capitals,30.0,200,2014,Delhi Capitals
122,India,Manprit Juneja,Sunrisers Hyderabad,10.0,10,2014,Sunrisers Hyderabad
123,India,Gurkeerat Singh,Punjab Kings,20.0,130,2014,Punjab Kings
124,India,Manish Pandey,Kolkata Knight Riders,20.0,170,2014,Kolkata Knight Riders
125,India,KL Rahul,Sunrisers Hyderabad,10.0,100,2014,Sunrisers Hyderabad
126,India,Suryakumar Yadav,Kolkata Knight Riders,20.0,70,2014,Kolkata Knight Riders
127,India,Vijay Zol,Royal Challengers Bangalore,30.0,30,2014,Royal Challengers Bengaluru
128,India,Ankush Bains,Rajasthan Royals,10.0,10,2014,Rajasthan Royals
129,India,Manvinder Bisla,Kolkata Knight Riders,30.0,60,2014,Kolkata Knight Riders
130,India,Debabrata Das,Kolkata Knight Riders,20.0,20,2014,Kolkata Knight Riders
131,Australia,Ben Dunk,Mumbai Indians,20.0,20,2014,Mumbai Indians
132,India,CM Gautam,Mumbai Indians,20.0,20,2014,Mumbai Indians
133,India,Sushant Marathe,Mumbai Indians,10.0,10,2014,Mumbai Indians
